G,Date,Start (ET),,Opponent
1,Tue Oct 24 2023,7:30PM,,Los Angeles Lakers
2,Fri Oct 27 2023,7:00PM,@,Memphis Grizzlies
3,Sun Oct 29 2023,3:30PM,@,Oklahoma City Thunder
4,Mon Oct 30 2023,9:00PM,,Utah Jazz
5,Wed Nov 1 2023,8:00PM,@,Minnesota Timberwolves
6,Fri Nov 3 2023,10:00PM,,Dallas Mavericks
7,Sat Nov 4 2023,9:00PM,,Chicago Bulls
8,Mon Nov 6 2023,9:00PM,,New Orleans Pelicans
9,Wed Nov 8 2023,10:00PM,,Golden State Warriors
10,Sun Nov 12 2023,7:00PM,@,Houston Rockets
11,Tue Nov 14 2023,10:00PM,,Los Angeles Clippers
12,Fri Nov 17 2023,8:00PM,@,New Orleans Pelicans
13,Sun Nov 19 2023,6:00PM,@,Cleveland Cavaliers
14,Mon Nov 20 2023,7:00PM,@,Detroit Pistons
15,Wed Nov 22 2023,7:00PM,@,Orlando Magic
16,Fri Nov 24 2023,8:00PM,@,Houston Rockets
17,Sun Nov 26 2023,8:00PM,,San Antonio Spurs
18,Mon Nov 27 2023,10:30PM,@,Los Angeles Clippers
19,Wed Nov 29 2023,9:00PM,,Houston Rockets
20,Fri Dec 1 2023,10:00PM,@,Phoenix Suns
21,Sat Dec 2 2023,10:00PM,@,Sacramento Kings
22,Wed Dec 6 2023,10:00PM,@,Los Angeles Clippers
23,Fri Dec 8 2023,9:00PM,,Houston Rockets
24,Mon Dec 11 2023,7:30PM,@,Atlanta Hawks
25,Tue Dec 12 2023,8:00PM,@,Chicago Bulls
26,Thu Dec 14 2023,9:00PM,,Brooklyn Nets
27,Sat Dec 16 2023,9:00PM,,Oklahoma City Thunder
28,Mon Dec 18 2023,9:00PM,,Dallas Mavericks
29,Wed Dec 20 2023,7:30PM,@,Toronto Raptors
30,Fri Dec 22 2023,7:30PM,@,Brooklyn Nets
31,Sat Dec 23 2023,7:00PM,@,Charlotte Hornets
32,Mon Dec 25 2023,2:30PM,,Golden State Warriors
33,Thu Dec 28 2023,9:00PM,,Memphis Grizzlies
34,Fri Dec 29 2023,9:00PM,,Oklahoma City Thunder
35,Mon Jan 1 2024,9:00PM,,Charlotte Hornets
36,Thu Jan 4 2024,10:00PM,@,Golden State Warriors
37,Fri Jan 5 2024,9:00PM,,Orlando Magic
38,Sun Jan 7 2024,8:00PM,,Detroit Pistons
39,Wed Jan 10 2024,10:00PM,@,Utah Jazz
40,Fri Jan 12 2024,10:00PM,,New Orleans Pelicans
41,Sun Jan 14 2024,3:30PM,,Indiana Pacers
42,Tue Jan 16 2024,7:30PM,@,Philadelphia 76ers
43,Fri Jan 19 2024,7:30PM,@,Boston Celtics
44,Sun Jan 21 2024,6:00PM,@,Washington Wizards
45,Tue Jan 23 2024,7:00PM,@,Indiana Pacers
46,Thu Jan 25 2024,7:30PM,@,New York Knicks
47,Sat Jan 27 2024,5:30PM,,Philadelphia 76ers
48,Mon Jan 29 2024,9:00PM,,Milwaukee Bucks
49,Wed Jan 31 2024,8:00PM,@,Oklahoma City Thunder
50,Fri Feb 2 2024,9:00PM,,Portland Trail Blazers
51,Sun Feb 4 2024,8:30PM,,Portland Trail Blazers
52,Thu Feb 8 2024,10:00PM,@,Los Angeles Lakers
53,Fri Feb 9 2024,10:00PM,@,Sacramento Kings
54,Mon Feb 12 2024,8:00PM,@,Milwaukee Bucks
55,Wed Feb 14 2024,9:00PM,,Sacramento Kings
56,Thu Feb 22 2024,9:00PM,,Washington Wizards
57,Fri Feb 23 2024,10:00PM,@,Portland Trail Blazers
58,Sun Feb 25 2024,7:00PM,@,Golden State Warriors
59,Wed Feb 28 2024,9:00PM,,Sacramento Kings
60,Thu Feb 29 2024,10:00PM,,Miami Heat
61,Sat Mar 2 2024,8:30PM,@,Los Angeles Lakers
62,Tue Mar 5 2024,10:00PM,,Phoenix Suns
63,Thu Mar 7 2024,10:00PM,,Boston Celtics
64,Sat Mar 9 2024,10:00PM,,Utah Jazz
65,Mon Mar 11 2024,9:00PM,,Toronto Raptors
66,Wed Mar 13 2024,7:30PM,@,Miami Heat
67,Fri Mar 15 2024,8:30PM,@,San Antonio Spurs
68,Sun Mar 17 2024,3:30PM,@,Dallas Mavericks
69,Tue Mar 19 2024,9:00PM,@,Minnesota Timberwolves
70,Thu Mar 21 2024,9:00PM,,New York Knicks
71,Sat Mar 23 2024,10:00PM,@,Portland Trail Blazers
72,Mon Mar 25 2024,9:00PM,,Memphis Grizzlies
73,Wed Mar 27 2024,10:00PM,,Phoenix Suns
74,Fri Mar 29 2024,9:00PM,,Minnesota Timberwolves
75,Sun Mar 31 2024,3:30PM,,Cleveland Cavaliers
76,Tue Apr 2 2024,9:00PM,,San Antonio Spurs
77,Thu Apr 4 2024,10:00PM,@,Los Angeles Clippers
78,Sat Apr 6 2024,9:00PM,,Atlanta Hawks
79,Tue Apr 9 2024,9:00PM,@,Utah Jazz
80,Wed Apr 10 2024,10:00PM,,Minnesota Timberwolves
81,Fri Apr 12 2024,8:00PM,@,San Antonio Spurs
82,Sun Apr 14 2024,3:30PM,@,Memphis Grizzlies